"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"IRL","HUR","TOT","PC_LF","Q","2017-Q1",7.266667,
"IRL","HUR","TOT","PC_LF","Q","2017-Q2",6.666667,
"IRL","HUR","TOT","PC_LF","Q","2017-Q3",6.633333,
"IRL","HUR","TOT","PC_LF","Q","2017-Q4",6.4,
"IRL","HUR","TOT","PC_LF","Q","2018-Q1",5.9,
"IRL","HUR","TOT","PC_LF","Q","2018-Q2",5.866667,
"IRL","HUR","TOT","PC_LF","Q","2018-Q3",5.7,
"IRL","HUR","TOT","PC_LF","Q","2018-Q4",5.666667,
"IRL","HUR","TOT","PC_LF","Q","2019-Q1",4.966667,
"IRL","HUR","TOT","PC_LF","Q","2019-Q2",5.166667,
"IRL","HUR","TOT","PC_LF","Q","2019-Q3",5,
"IRL","HUR","TOT","PC_LF","Q","2019-Q4",4.733333,
"IRL","HUR","TOT","PC_LF","Q","2020-Q1",4.833333,
"IRL","HUR","TOT","PC_LF","Q","2020-Q2",5.133333,
"IRL","HUR","TOT","PC_LF","Q","2020-Q3",7.1,
"IRL","HUR","TOT","PC_LF","Q","2020-Q4",6.233333,
"IRL","HUR","TOT","PC_LF","Q","2021-Q1",7.333333,
"IRL","HUR","TOT","PC_LF","Q","2021-Q2",7,
"IRL","HUR","TOT","PC_LF","Q","2021-Q3",5.533333,
"IRL","HUR","TOT","PC_LF","Q","2021-Q4",5.166667,
"IRL","HUR","TOT","PC_LF","Q","2022-Q1",4.9,
"IRL","HUR","TOT","PC_LF","Q","2022-Q2",4.333333,
"ITA","HUR","TOT","PC_LF","Q","2000-Q1",10.56667,
"ITA","HUR","TOT","PC_LF","Q","2000-Q2",10.26667,
"ITA","HUR","TOT","PC_LF","Q","2000-Q3",9.966666,
"ITA","HUR","TOT","PC_LF","Q","2000-Q4",9.6,
"ITA","HUR","TOT","PC_LF","Q","2001-Q1",9.366667,
"ITA","HUR","TOT","PC_LF","Q","2001-Q2",9.133333,
"ITA","HUR","TOT","PC_LF","Q","2001-Q3",9.033334,
"ITA","HUR","TOT","PC_LF","Q","2001-Q4",8.866667,
"ITA","HUR","TOT","PC_LF","Q","2002-Q1",8.533334,
"ITA","HUR","TOT","PC_LF","Q","2002-Q2",8.833333,
"ITA","HUR","TOT","PC_LF","Q","2002-Q3",8.6,
"ITA","HUR","TOT","PC_LF","Q","2002-Q4",8.466666,
"ITA","HUR","TOT","PC_LF","Q","2003-Q1",8.733334,
"ITA","HUR","TOT","PC_LF","Q","2003-Q2",8.466666,
"ITA","HUR","TOT","PC_LF","Q","2003-Q3",8.4,
"ITA","HUR","TOT","PC_LF","Q","2003-Q4",8.2,"B"
"ITA","HUR","TOT","PC_LF","Q","2004-Q1",8.266666,
"ITA","HUR","TOT","PC_LF","Q","2004-Q2",8.033334,
"ITA","HUR","TOT","PC_LF","Q","2004-Q3",7.833333,
"ITA","HUR","TOT","PC_LF","Q","2004-Q4",7.966667,
"ITA","HUR","TOT","PC_LF","Q","2005-Q1",7.9,
"ITA","HUR","TOT","PC_LF","Q","2005-Q2",7.8,
"ITA","HUR","TOT","PC_LF","Q","2005-Q3",7.633333,
"ITA","HUR","TOT","PC_LF","Q","2005-Q4",7.666667,
"ITA","HUR","TOT","PC_LF","Q","2006-Q1",7.333333,
"ITA","HUR","TOT","PC_LF","Q","2006-Q2",6.966667,
"ITA","HUR","TOT","PC_LF","Q","2006-Q3",6.666667,
"ITA","HUR","TOT","PC_LF","Q","2006-Q4",6.5,
"ITA","HUR","TOT","PC_LF","Q","2007-Q1",6.233333,
"ITA","HUR","TOT","PC_LF","Q","2007-Q2",6,
"ITA","HUR","TOT","PC_LF","Q","2007-Q3",6.2,
"ITA","HUR","TOT","PC_LF","Q","2007-Q4",6.4,
"ITA","HUR","TOT","PC_LF","Q","2008-Q1",6.6,
"ITA","HUR","TOT","PC_LF","Q","2008-Q2",6.866667,
"ITA","HUR","TOT","PC_LF","Q","2008-Q3",6.733333,
"ITA","HUR","TOT","PC_LF","Q","2008-Q4",7,
"ITA","HUR","TOT","PC_LF","Q","2009-Q1",7.466667,
"ITA","HUR","TOT","PC_LF","Q","2009-Q2",7.566667,
"ITA","HUR","TOT","PC_LF","Q","2009-Q3",8.033334,
"ITA","HUR","TOT","PC_LF","Q","2009-Q4",8.4,
"ITA","HUR","TOT","PC_LF","Q","2010-Q1",8.6,
"ITA","HUR","TOT","PC_LF","Q","2010-Q2",8.633333,
"ITA","HUR","TOT","PC_LF","Q","2010-Q3",8.333333,
"ITA","HUR","TOT","PC_LF","Q","2010-Q4",8.366667,
"ITA","HUR","TOT","PC_LF","Q","2011-Q1",8.2,
"ITA","HUR","TOT","PC_LF","Q","2011-Q2",8.2,
"ITA","HUR","TOT","PC_LF","Q","2011-Q3",8.633333,
"ITA","HUR","TOT","PC_LF","Q","2011-Q4",9.366667,
"ITA","HUR","TOT","PC_LF","Q","2012-Q1",10.2,
"ITA","HUR","TOT","PC_LF","Q","2012-Q2",10.73333,
