"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"IRL","HOUSECOST","REAL","IDX2015","Q","2000-Q1",90.0752990585073,
"IRL","HOUSECOST","REAL","IDX2015","Q","2000-Q2",92.9841698014271,
"IRL","HOUSECOST","REAL","IDX2015","Q","2000-Q3",95.6445263745889,
"IRL","HOUSECOST","REAL","IDX2015","Q","2000-Q4",98.9673768114548,
"IRL","HOUSECOST","REAL","IDX2015","Q","2001-Q1",102.732478280928,
"IRL","HOUSECOST","REAL","IDX2015","Q","2001-Q2",102.767919563542,
"IRL","HOUSECOST","REAL","IDX2015","Q","2001-Q3",103.343301143097,
"IRL","HOUSECOST","REAL","IDX2015","Q","2001-Q4",100.748084748326,
"IRL","HOUSECOST","REAL","IDX2015","Q","2002-Q1",101.385923153311,
"IRL","HOUSECOST","REAL","IDX2015","Q","2002-Q2",103.275938527147,
"IRL","HOUSECOST","REAL","IDX2015","Q","2002-Q3",105.856699198147,
"IRL","HOUSECOST","REAL","IDX2015","Q","2002-Q4",108.295009134438,
"IRL","HOUSECOST","REAL","IDX2015","Q","2003-Q1",111.348171566415,
"IRL","HOUSECOST","REAL","IDX2015","Q","2003-Q2",114.605448562464,
"IRL","HOUSECOST","REAL","IDX2015","Q","2003-Q3",116.956674009935,
"IRL","HOUSECOST","REAL","IDX2015","Q","2003-Q4",120.562359003647,
"IRL","HOUSECOST","REAL","IDX2015","Q","2004-Q1",123.896766318209,
"IRL","HOUSECOST","REAL","IDX2015","Q","2004-Q2",126.347561447145,
"IRL","HOUSECOST","REAL","IDX2015","Q","2004-Q3",128.431598913386,
"IRL","HOUSECOST","REAL","IDX2015","Q","2004-Q4",128.98573114138,
"IRL","HOUSECOST","REAL","IDX2015","Q","2005-Q1",131.93200246039,
"IRL","HOUSECOST","REAL","IDX2015","Q","2005-Q2",133.532793991529,
"IRL","HOUSECOST","REAL","IDX2015","Q","2005-Q3",135.237912024695,
"IRL","HOUSECOST","REAL","IDX2015","Q","2005-Q4",141.860190339963,
"IRL","HOUSECOST","REAL","IDX2015","Q","2006-Q1",144.397361419794,
"IRL","HOUSECOST","REAL","IDX2015","Q","2006-Q2",148.692594545478,
